origin,month,dep_delay,arr_delay,cancelled,cancellation_code,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
LAS,9,2.0,0.0,0,N,0,0,0,0,0
ATL,11,-5.0,-10.0,0,N,0,0,0,0,0
DFW,3,4.0,5.0,0,N,0,0,0,0,0
PIT,3,-1.0,7.0,0,N,0,0,0,0,0
KOA,3,-4.0,-29.0,0,N,0,0,0,0,0
ATL,8,-8.0,-17.0,0,N,0,0,0,0,0
PDX,12,8.0,1.0,0,N,0,0,0,0,0
PHX,8,2.0,-10.0,0,N,0,0,0,0,0
ORD,9,2.0,-15.0,0,N,0,0,0,0,0
JFK,8,7.0,20.0,0,N,7,0,13,0,0
SRQ,6,30.0,22.0,0,N,0,0,0,0,22
FLL,3,-7.0,13.0,0,N,0,0,0,0,0
ORD,9,-1.0,-17.0,0,N,0,0,0,0,0
EWR,9,-10.0,-30.0,0,N,0,0,0,0,0
DEN,7,-5.0,-14.0,0,N,0,0,0,0,0
PHX,6,2.0,-7.0,0,N,0,0,0,0,0
ATL,11,9.0,11.0,0,N,0,0,0,0,0
BUF,1,-3.0,-3.0,0,N,0,0,0,0,0
ORD,11,-8.0,-2.0,0,N,0,0,0,0,0
DFW,5,,,1,B,0,0,0,0,0
DCA,12,-3.0,-18.0,0,N,0,0,0,0,0
BWI,4,18.0,10.0,0,N,0,0,0,0,0
EYW,11,21.0,6.0,0,N,0,0,0,0,0
SJC,5,-14.0,-18.0,0,N,0,0,0,0,0
SFO,9,-1.0,4.0,0,N,0,0,0,0,0
BWI,5,141.0,119.0,0,N,119,0,0,0,0
FLL,12,-1.0,-3.0,0,N,0,0,0,0,0
MSP,10,-5.0,-17.0,0,N,0,0,0,0,0
DFW,9,-1.0,5.0,0,N,0,0,0,0,0
BOS,9,-8.0,-22.0,0,N,0,0,0,0,0
PHX,12,48.0,46.0,0,N,0,46,0,0,0
MDW,1,,,1,B,0,0,0,0,0
SEA,11,-5.0,-17.0,0,N,0,0,0,0,0
SNA,12,-5.0,-15.0,0,N,0,0,0,0,0
MSP,6,142.0,127.0,0,N,0,0,0,0,127
SLC,2,-2.0,-14.0,0,N,0,0,0,0,0
BOI,7,-7.0,6.0,0,N,0,0,0,0,0
GEG,1,-8.0,-8.0,0,N,0,0,0,0,0
FLL,1,24.0,64.0,0,N,0,0,40,0,24
DFW,4,5.0,18.0,0,N,0,0,18,0,0
MCO,3,76.0,91.0,0,N,76,0,15,0,0
LGB,3,3.0,-13.0,0,N,0,0,0,0,0
ORD,6,-5.0,-1.0,0,N,0,0,0,0,0
PHL,11,8.0,2.0,0,N,0,0,0,0,0
PHX,7,-6.0,-14.0,0,N,0,0,0,0,0
CLT,8,-8.0,34.0,0,N,0,0,34,0,0
ATL,1,12.0,19.0,0,N,0,0,19,0,0
ABQ,11,12.0,13.0,0,N,0,0,0,0,0
ELP,11,-3.0,-11.0,0,N,0,0,0,0,0
DFW,8,35.0,34.0,0,N,2,0,0,0,32
DCA,10,-3.0,-11.0,0,N,0,0,0,0,0
LGA,8,-6.0,-10.0,0,N,0,0,0,0,0
MFR,3,-6.0,-8.0,0,N,0,0,0,0,0
DEN,10,-4.0,-8.0,0,N,0,0,0,0,0
DEN,11,-1.0,-7.0,0,N,0,0,0,0,0
JFK,3,-7.0,-44.0,0,N,0,0,0,0,0
LGA,5,-5.0,-7.0,0,N,0,0,0,0,0
LAX,9,-3.0,-9.0,0,N,0,0,0,0,0
EUG,9,2.0,9.0,0,N,0,0,0,0,0
SLC,3,-2.0,2.0,0,N,0,0,0,0,0
EWR,4,-5.0,-15.0,0,N,0,0,0,0,0
AUS,12,-2.0,-14.0,0,N,0,0,0,0,0
GRR,5,39.0,20.0,0,N,20,0,0,0,0
DAL,9,0.0,-6.0,0,N,0,0,0,0,0
JFK,10,22.0,-46.0,0,N,0,0,0,0,0
LAS,9,-17.0,-29.0,0,N,0,0,0,0,0
BDL,4,-6.0,-27.0,0,N,0,0,0,0,0
ATL,8,-6.0,-11.0,0,N,0,0,0,0,0
ORF,6,-5.0,-22.0,0,N,0,0,0,0,0
MSP,4,-10.0,-27.0,0,N,0,0,0,0,0
MCO,7,14.0,102.0,0,N,0,0,102,0,0
EWR,3,38.0,32.0,0,N,3,0,0,0,29
PBI,10,-14.0,-16.0,0,N,0,0,0,0,0
DEN,10,-3.0,-21.0,0,N,0,0,0,0,0
MKE,6,2.0,-6.0,0,N,0,0,0,0,0
ATL,5,42.0,27.0,0,N,27,0,0,0,0
JFK,3,-3.0,-78.0,0,N,0,0,0,0,0
ATL,8,93.0,83.0,0,N,83,0,0,0,0
FLL,1,-3.0,8.0,0,N,0,0,0,0,0
ATL,5,-8.0,-15.0,0,N,0,0,0,0,0
PHL,12,5.0,0.0,0,N,0,0,0,0,0
LGA,9,-4.0,-10.0,0,N,0,0,0,0,0
AUS,1,-4.0,-5.0,0,N,0,0,0,0,0
FLL,7,-3.0,40.0,0,N,0,0,40,0,0
SRQ,12,-15.0,-34.0,0,N,0,0,0,0,0
RAP,8,12.0,4.0,0,N,0,0,0,0,0
DTW,1,-2.0,10.0,0,N,0,0,0,0,0
LAX,1,41.0,89.0,0,N,0,0,89,0,0
DFW,1,-4.0,-23.0,0,N,0,0,0,0,0
DCA,7,-2.0,-17.0,0,N,0,0,0,0,0
LAS,10,-10.0,-14.0,0,N,0,0,0,0,0
LAS,4,28.0,34.0,0,N,9,0,6,0,19
TPA,3,1.0,-10.0,0,N,0,0,0,0,0
CLT,9,21.0,-1.0,0,N,0,0,0,0,0
ATL,5,0.0,0.0,0,N,0,0,0,0,0
MIA,8,-5.0,-16.0,0,N,0,0,0,0,0
JFK,9,10.0,17.0,0,N,0,0,7,0,10
MSY,4,,,1,B,0,0,0,0,0
EWR,12,0.0,-6.0,0,N,0,0,0,0,0
PDX,5,3.0,-8.0,0,N,0,0,0,0,0
DEN,6,66.0,51.0,0,N,51,0,0,0,0
TPA,4,-3.0,-18.0,0,N,0,0,0,0,0
ORF,4,-11.0,-14.0,0,N,0,0,0,0,0
FSD,7,66.0,87.0,0,N,0,0,21,0,66
DTW,1,-6.0,-2.0,0,N,0,0,0,0,0
CMH,12,-6.0,-19.0,0,N,0,0,0,0,0
CLE,5,-2.0,-6.0,0,N,0,0,0,0,0
GSP,8,-10.0,-19.0,0,N,0,0,0,0,0
MDW,7,-3.0,,0,N,0,0,0,0,0
PGD,6,-15.0,-33.0,0,N,0,0,0,0,0
HNL,12,-4.0,-2.0,0,N,0,0,0,0,0
PHX,6,244.0,213.0,0,N,11,0,0,0,202
IAH,3,-6.0,-15.0,0,N,0,0,0,0,0
PDX,1,346.0,420.0,0,N,0,53,74,0,293
JFK,11,-7.0,7.0,0,N,0,0,0,0,0
MCI,1,-1.0,-19.0,0,N,0,0,0,0,0
SAN,11,82.0,73.0,0,N,0,0,0,0,73
SAT,4,-9.0,-11.0,0,N,0,0,0,0,0
MCO,12,-8.0,-16.0,0,N,0,0,0,0,0
LAS,10,-13.0,25.0,0,N,0,0,25,0,0
TYS,7,9.0,72.0,0,N,0,0,63,0,9
JFK,12,-5.0,-32.0,0,N,0,0,0,0,0
SFO,7,0.0,-27.0,0,N,0,0,0,0,0
LGA,7,-5.0,-24.0,0,N,0,0,0,0,0
DFW,11,54.0,53.0,0,N,0,0,0,0,53
SBN,3,-1.0,-1.0,0,N,0,0,0,0,0
DCA,9,-6.0,-15.0,0,N,0,0,0,0,0
BOS,8,102.0,84.0,0,N,0,0,0,0,84
OGG,9,-10.0,-33.0,0,N,0,0,0,0,0
BUF,7,37.0,47.0,0,N,0,0,10,0,37
MSY,8,6.0,7.0,0,N,0,0,0,0,0
CID,4,-8.0,-23.0,0,N,0,0,0,0,0
OAK,1,0.0,6.0,0,N,0,0,0,0,0
RIC,7,3.0,-5.0,0,N,0,0,0,0,0
SHV,8,-6.0,-8.0,0,N,0,0,0,0,0
CVG,8,-9.0,-20.0,0,N,0,0,0,0,0
LAX,4,-5.0,-1.0,0,N,0,0,0,0,0
IAH,9,-6.0,-22.0,0,N,0,0,0,0,0
LAS,6,23.0,6.0,0,N,0,0,0,0,0
JAN,1,88.0,86.0,0,N,0,1,0,0,85
OAK,10,-14.0,-34.0,0,N,0,0,0,0,0
OAK,4,4.0,-22.0,0,N,0,0,0,0,0
PDX,4,-10.0,8.0,0,N,0,0,0,0,0
MDW,12,-6.0,-10.0,0,N,0,0,0,0,0
LAX,7,141.0,157.0,0,N,4,0,16,0,137
CMH,7,1.0,-21.0,0,N,0,0,0,0,0
AUS,5,0.0,-5.0,0,N,0,0,0,0,0
LAX,6,-5.0,-7.0,0,N,0,0,0,0,0
ORD,3,-5.0,0.0,0,N,0,0,0,0,0
SNA,10,1.0,-5.0,0,N,0,0,0,0,0
ORD,9,-2.0,-7.0,0,N,0,0,0,0,0
SAN,11,-6.0,-9.0,0,N,0,0,0,0,0
JAX,3,91.0,84.0,0,N,0,72,0,0,12
DFW,4,-5.0,-10.0,0,N,0,0,0,0,0
FLL,2,0.0,4.0,0,N,0,0,0,0,0
BWI,7,-4.0,-14.0,0,N,0,0,0,0,0
SDF,6,73.0,55.0,0,N,0,0,0,0,55
LAS,11,-7.0,-21.0,0,N,0,0,0,0,0
ORD,7,62.0,71.0,0,N,0,0,9,0,62
BOS,5,-3.0,-7.0,0,N,0,0,0,0,0
