op_unique_carrier,origin,arr_delay,cancelled,month
AA,PHL,118.0,0,12
AA,CLT,91.0,0,7
AA,PIT,208.0,0,8
DL,ORD,-21.0,0,2
WN,LAX,22.0,0,10
MQ,DFW,24.0,0,12
UA,IAH,-8.0,0,7
WN,TPA,84.0,0,1
WN,JAX,-39.0,0,6
AA,ORD,-18.0,0,3
WN,DEN,148.0,0,2
WN,DEN,51.0,0,7
DL,MSP,-8.0,0,8
WN,ABQ,-14.0,0,11
WN,PHX,3.0,0,11
AA,DTW,-13.0,0,7
DL,ATL,5.0,0,6
MQ,DFW,-3.0,0,5
DL,ATL,0.0,0,10
WN,PHX,-5.0,0,2
OO,TYR,173.0,0,6
WN,LGB,-20.0,0,11
OO,PDX,-6.0,0,9
AA,MYR,-30.0,0,9
AA,ILM,-31.0,0,7
AA,CLT,11.0,0,9
WN,MDW,6.0,0,2
DL,SAN,11.0,0,6
OO,MDW,-21.0,0,1
WN,LAS,-21.0,0,10
HA,OGG,-6.0,0,4
B6,JAX,13.0,0,5
WN,RIC,4.0,0,8
F9,ATL,-8.0,0,5
WN,FAT,-2.0,0,10
AA,LAS,-7.0,0,7
B6,FLL,28.0,0,10
YX,PHL,43.0,0,1
YX,DCA,52.0,0,7
OO,ASE,,1,2
AA,PHX,16.0,0,12
F9,MCO,-6.0,0,11
AA,GEG,466.0,0,7
B6,TPA,16.0,0,7
WN,PHX,-28.0,0,12
MQ,MCI,-19.0,0,5
DL,MIA,13.0,0,1
DL,ATL,-7.0,0,3
F9,SAN,-10.0,0,9
9E,DSM,0.0,0,1
UA,PBI,-42.0,0,3
UA,ORD,-28.0,0,2
WN,ATL,-4.0,0,6
UA,BWI,-1.0,0,12
UA,EWR,-12.0,0,3
AS,SEA,-11.0,0,12
WN,RSW,-8.0,0,2
WN,BWI,15.0,0,5
AA,PHX,-22.0,0,7
DL,DCA,8.0,0,7
UA,DEN,-9.0,0,5
DL,ATL,-20.0,0,9
AA,CLT,-15.0,0,5
MQ,DFW,-23.0,0,9
WN,LAX,7.0,0,5
DL,ATL,-4.0,0,1
AA,DFW,-16.0,0,9
WN,MCO,64.0,0,8
WN,OKC,37.0,0,10
